Cluster 0:
5.170592 -0.207175
5.078377 1.037938
5.083099 0.363564
5.837012 -0.359001
3.791401 0.209596
5.160814 -0.425607
5.609760 0.425297
4.303505 0.362753
4.862727 -1.038118
5.317065 -0.031650
4.478302 0.366062
5.341665 -0.404276
5.280247 0.710545
4.501133 0.266623
5.001929 1.586207
3.696388 0.486699
4.785628 -0.070138
6.331112 -0.006001

Cluster 3:
1.568661 4.690496
0.245358 4.656407
-0.483482 5.043738
-0.197800 5.141744
-1.473520 6.401727
-0.116898 6.220034
-0.704978 5.204775
2.215459 4.391190
-1.046710 4.617443
0.330742 5.485338
0.903257 4.820091
-1.121576 4.695479
0.868156 5.325964
-1.369857 4.975464
0.978718 6.488584
0.393181 5.216512
-0.868144 4.409730
0.032841 5.352238
0.406129 4.665254
-0.806360 4.455553
-0.809882 5.450386
-1.618597 4.766705
0.314915 6.065409
0.049910 5.700899
-0.279303 4.478917
-0.472075 6.069135
0.695955 5.341179
2.331188 4.977361
0.434245 5.215314
-0.155320 6.621320
1.054623 4.020364
-0.279892 5.299836
0.548228 4.056087
-1.578893 3.665543
-0.049778 4.927758
0.241654 4.461228
-0.856966 3.583868
0.230431 5.259038
0.695096 5.553557
-0.133501 5.944483
-0.095457 4.537415
-0.364405 4.590632
-1.516016 5.109428
0.174920 4.746414
-0.499689 5.260263
1.201809 5.026779
-0.355344 4.585987
-0.048830 4.114664
-0.087682 5.042828
1.291275 5.660432
0.723820 4.500936
0.468945 4.202432
0.218372 5.293116
-0.536487 6.399566
0.397162 3.668090
0.387002 4.714812
0.000963 5.326035
0.273373 3.572594
-0.810824 5.540837
0.910843 6.332207
1.262218 3.561124
0.538637 3.658597
1.129521 5.177345
-0.798818 6.406931
0.450780 3.676196
0.205428 4.488202
0.077907 4.674364
0.961446 4.003700
0.222184 6.269932
-0.578872 5.147454
0.141401 4.517208
0.453526 5.067935
-0.660637 6.233411
0.554130 4.883025
-0.445672 4.450946
0.861659 4.897465
0.321607 4.870880
0.431487 4.918815
0.534698 4.871752
0.580711 5.470669
-0.081627 4.398156
-0.658084 4.481484
-0.689141 5.606057
-0.032622 6.099071
1.595531 5.016956
-1.083612 4.732983
-0.052744 3.958090
-0.175345 5.200862
-0.321599 4.462102
-0.531130 6.250679
-0.111752 4.419049
-0.261029 5.668041
-0.479282 5.337293
0.509519 5.524382
0.979786 4.614663
0.792913 4.445002
-0.277578 5.837261
0.575663 5.001468
-0.833990 5.393162
-0.441261 4.353281

